Fiber ID,Group ID,Point I,Point J,Point K,Area,cy,cz
175,0.0,5,284,281,44.18755291276807,169.89400985481302,23.80091007443184
176,0.0,280,277,278,35.08443584985173,154.8100947670489,12.954860937629576
177,0.0,94,288,291,29.94077657311118,194.8608655357175,27.66467402739596
178,0.0,510,505,87,34.073367756509924,112.99859876772607,18.10743145018033
179,0.0,502,96,101,32.118768461345894,127.30088520111485,18.073673058139008
180,0.0,508,500,503,55.1042622970964,127.73717211639259,5.650685915141718
181,0.0,96,510,409,48.08278398221262,121.35951408935102,23.28605204554549
182,0.0,406,402,403,30.761970177832154,135.21074181885297,70.87108934153466
183,0.0,507,98,501,36.08869771048393,143.75,1.924730544559143
184,0.0,283,280,281,54.53842638386607,165.53329199928316,13.432295524259672
185,0.0,509,507,508,33.03024595597333,140.42799609950544,9.515489058284189
186,0.0,446,6,5,49.5,167.25,38.0
187,0.0,278,103,281,59.790318413632576,160.12219858884578,22.55761639387015
188,0.0,65,106,105,48.0,117.16666666666674,38.0
189,0.0,510,104,65,33.166801927252436,114.06784742268417,27.473005567447444
190,0.0,106,65,104,52.5,113.08333333333337,34.0
191,0.0,108,106,107,64.0,111.66666666666663,48.666666666666686
192,0.0,104,7,106,48.0,108.91666666666674,38.0
193,0.0,398,107,34,28.26666666666688,107.35555555555527,55.733333333333235
194,0.0,7,42,107,40.0,101.66666666666674,47.33333333333337
195,0.0,106,7,107,32.0,107.66666666666674,44.66666666666663
196,0.0,399,27,400,30.514064306497858,107.54283869220848,71.15183032609497
197,0.0,410,296,105,28.266666666666424,124.06666666666706,44.355555555555725
198,0.0,66,113,110,48.0,82.83333333333334,162.0
199,0.0,115,116,112,35.60384114583303,92.70833333333348,179.82567649035445
200,0.0,113,66,109,52.5,86.9166666666666,166.00000000000017
201,0.0,114,113,38,64.0,88.33333333333337,151.33333333333326
202,0.0,115,109,116,31.66850196794894,91.25000000000045,174.82567649035536
203,0.0,121,67,133,50.26686111049412,46.30030658003943,175.8168464124451
204,0.0,21,109,115,30.02115885416606,95.62500000000068,172.2873263888896
205,0.0,109,13,113,48.0,91.08333333333329,162.0
206,0.0,30,114,38,48.0,91.0,145.9999999999999
207,0.0,195,197,25,39.85794090944364,91.67850492421303,129.6533371840726
208,0.0,199,198,195,45.68255040110216,82.80075290939351,134.17909491851083
209,0.0,116,109,66,33.31584508173273,86.87499999999974,172.53835010146452
210,0.0,21,115,146,52.78083661325036,101.45833333333229,175.7554677617003
211,0.0,128,124,126,27.873055540224414,62.39363120386702,182.23659895832407
212,0.0,118,299,50,44.149610391785245,70.83333333333326,173.3637798393744
213,0.0,419,117,309,56.750404303482355,125.3463882103963,193.41970653738554
214,0.0,54,418,145,32.45817289244951,136.06335971171978,176.68108947102002
215,0.0,124,121,120,35.08349666887443,54.7916666666672,179.69749166775046
216,0.0,18,493,137,32.20426165228673,96.17545675630436,194.65420244282222
217,0.0,213,119,51,49.5,58.0,162.0
218,0.0,67,121,119,29.40218041445769,51.87500000000034,172.2401661268168
219,0.0,130,134,301,47.1888743479326,40.12335406979836,193.98697003921774
220,0.0,126,124,120,28.904973385787343,57.32775567903832,182.5128646343037
221,0.0,69,70,142,42.029018940191236,148.12499999999966,173.2022109668717
222,0.0,129,131,123,44.123444730119445,71.07589846434956,194.16553377002288
223,0.0,120,121,133,49.51416184699701,47.75863991337269,180.7300408568899
224,0.0,111,127,125,44.39003488990875,55.91107598173846,197.63253147253863
225,0.0,50,119,124,33.391720641416214,60.625000000000114,172.54413109648885
226,0.0,118,129,135,41.07371356444855,76.34268738275239,185.36155674855627
227,0.0,133,134,120,54.7603694957661,45.90325819701275,185.7569028676935
228,0.0,118,50,124,55.466525837308836,66.45833333333348,175.90791093586313
229,0.0,128,126,131,28.587747769955968,63.68240907415736,186.9829873977842
230,0.0,301,134,133,48.392039320126514,40.798660649837814,187.56365032484814
231,0.0,120,125,126,30.317124743663953,55.53049832744341,187.60126501035393
232,0.0,125,131,126,33.60675546827224,59.73594286439993,189.97859010185812
233,0.0,131,125,127,36.605394855853774,60.74152051869396,194.92305100848512
234,0.0,131,129,128,35.18997073267019,68.43344065584506,188.80246253848736
235,0.0,124,128,118,33.27477064246523,67.14920885816196,180.5448397043274
236,0.0,132,136,123,38.28424871507832,81.36588674504924,197.95817340186204
237,0.0,118,128,129,35.142689633267764,71.5196627855563,184.8757228419156
238,0.0,125,134,111,34.56140204166513,50.51402759871087,194.89955961015448
239,0.0,11,260,138,35.854354012867134,33.44164704219719,172.73176030574268
240,0.0,131,127,123,50.802758700972845,67.3304445369564,197.2905195359483
241,0.0,252,254,140,51.79599068108837,15.155033814972143,155.41319177468586
242,0.0,135,136,137,35.885603899406306,84.3866563298352,190.30253898040928
243,0.0,130,111,134,51.24322241965774,44.6029516169732,197.26702813761858
244,0.0,136,135,129,33.34409477182999,78.95857412780265,189.95595031104494
245,0.0,112,116,135,53.61348978310707,88.01390012202592,182.66111277657274
246,0.0,123,136,129,34.796586670224315,76.77800733911022,194.8331876359381
247,0.0,137,136,132,32.31853337438224,86.37275620780952,195.17977630530186
248,0.0,18,137,132,52.094945560511405,92.50686946276073,197.22160290344118
249,0.0,135,137,112,45.89923387517774,89.06243625145248,187.34436557854679
250,0.0,138,68,349,49.5,41.1666666666667,161.9999999999999
251,0.0,133,67,138,46.94392874889536,41.9253065800397,173.57668028563074
252,0.0,53,54,142,52.5,138.91666666666652,166.0000000000001
253,0.0,142,145,69,36.630371559793275,143.75000000000114,175.58177090435163
254,0.0,206,204,214,32.80726228514868,56.90942831349443,143.37080740313542
255,0.0,248,247,250,37.12632027115603,11.565001223080728,141.12385656805006
256,0.0,491,117,419,41.42953433640105,119.3453086531199,194.19520906343269
257,0.0,257,258,256,47.20402899753253,19.195483358860145,176.15529340693638
258,0.0,252,52,251,55.984203831761306,2.985824204360604,156.31089154494248
259,0.0,115,112,492,29.452218278755026,98.03772572139417,182.1646434647555
260,0.0,417,143,147,45.10603160611936,146.22390239538072,193.79436036195102
261,0.0,54,73,418,50.37153787934403,131.6883597117203,177.7256891428351
262,0.0,492,493,490,26.941510090220618,102.53964634827292,189.3230681530212
263,0.0,186,193,183,51.48991230828915,63.30249916157443,94.76823507321353
264,0.0,151,143,150,43.84516219571378,156.50090386417435,197.6615913495612
265,0.0,308,166,8,48.0,108.91666666666652,161.9999999999999
266,0.0,149,152,155,62.4759099208859,162.99961245575605,184.4385730551985
267,0.0,143,151,147,40.26199797658592,151.88870555092922,194.2749279832592
268,0.0,157,155,411,32.32488142830516,171.48633812826665,180.54639161388536
269,0.0,152,303,148,32.99735129358851,170.8333333333312,196.48028252868176
270,0.0,152,151,150,50.94593417684155,162.7509038641756,194.1418738782486
271,0.0,147,151,149,32.073529308237994,153.429984673352,189.0734492556071
272,0.0,414,422,158,59.71435076074158,189.70987254207915,166.5012280547149
273,0.0,152,473,411,48.114363700975446,175.2643001203337,189.89422705229708
274,0.0,71,70,154,52.5,155.91666666666663,165.9999999999999
275,0.0,418,417,145,41.86941921471407,137.7327937536786,183.86211319927133
276,0.0,70,149,154,62.98059169955923,156.12461245575514,174.79852127234653
277,0.0,10,154,155,41.47197146094004,165.625,173.1597692541659
278,0.0,149,155,154,62.896013289804614,160.4996124557565,177.9582905265138
279,0.0,304,474,475,38.903958310198504,189.20374124520822,187.39336029730612
280,0.0,54,53,159,51.0,134.16666666666663,161.9999999999999
281,0.0,411,155,152,42.00688643005196,170.05596678699976,184.6423993311937
282,0.0,9,10,305,38.69695754344502,172.14983097463795,164.00000000000205
283,0.0,153,309,117,59.42088914828673,131.24999999999977,196.83088591209116
284,0.0,476,141,146,49.33422368422907,114.58566966540957,177.22416128896725
285,0.0,72,160,159,51.0,125.58333333333326,162.0
286,0.0,162,159,53,29.472549511334364,133.74999999999875,155.68842748930552
287,0.0,141,73,160,44.94209487196531,123.33333333333371,173.42415960929316
288,0.0,53,163,162,48.293039356329245,139.24999999999972,152.4642440809909
289,0.0,39,31,169,39.49067327646753,108.29088943970623,137.7443800299102
290,0.0,163,53,302,38.690200899793126,143.33333333333326,154.7758165916839
291,0.0,162,161,164,42.58985286263669,130.25907320791316,146.99856366618087
292,0.0,314,315,313,40.876279625439565,161.2072906389319,152.64996122474076
293,0.0,161,311,168,60.184634858957,138.1019648422821,136.38374952862614
294,0.0,164,161,167,41.9705171433925,127.61208389967146,142.64355791053663
295,0.0,166,300,8,32.0,107.66666666666674,155.33333333333348
296,0.0,165,167,170,29.05592019417236,126.04889887789909,132.89326230053848
297,0.0,173,172,165,41.95452615430713,118.29817341915589,125.72979152317578
298,0.0,300,166,307,43.951899548198526,111.84472341648575,153.18206512080292
299,0.0,307,72,164,26.412917956482488,120.60379662439937,152.18158634286374
300,0.0,170,161,168,47.23175931613514,133.6082879970927,134.3008590111599
301,0.0,169,167,165,46.35074253940729,121.03568411498895,134.83995973914148
302,0.0,163,311,161,58.41785373062885,141.04778104780553,142.9670046552709
303,0.0,314,9,315,29.5225376155322,165.99999999999773,155.53978853203625
304,0.0,172,169,165,38.44952970171016,116.95425384855184,131.64907392843338
305,0.0,300,174,31,46.21028416816989,108.85085701401408,145.4289055045408
306,0.0,161,170,167,36.35167824392738,129.8237815610454,137.4417192797888
307,0.0,170,168,425,27.458102772675375,134.44221790074926,127.10922591909139
308,0.0,327,331,425,45.13331175987696,141.85487656427125,122.07938012640221
309,0.0,79,344,175,40.496674998034905,117.49266834869725,111.29268164608114
310,0.0,171,173,165,51.71311502620847,123.55078301849608,122.63094943171814
311,0.0,39,172,24,34.25896510388793,107.85491375865695,129.4758692562907
312,0.0,175,173,171,31.316974584264244,124.04735929599727,117.3013700575788
313,0.0,344,79,265,40.19852555575926,111.18764142100568,109.02676971132013
314,0.0,31,174,169,38.82274071984557,112.14174645371986,141.17328553445032
315,0.0,167,174,164,33.68814169956386,121.87960758035433,143.0951817936002
316,0.0,426,175,171,30.088018049797938,129.35116460512495,115.45250242670136
317,0.0,175,57,266,32.00849980723433,124.5954068924716,107.01163797265235
318,0.0,177,176,33,40.75587256075369,89.7930853519913,88.1799961492606
319,0.0,176,74,261,33.333515867317146,82.7484344625575,96.07905937122541
320,0.0,178,177,40,28.167447251792964,89.42328875915564,80.59666281592703
321,0.0,179,346,273,46.30868465474532,83.2058907798149,61.666206864177184
322,0.0,178,179,347,31.60455569294345,85.76363665387542,71.82906823935596
323,0.0,43,35,346,28.000797969840278,92.66660016917976,61.00019949245993
324,0.0,346,179,43,28.019880892358742,89.99781191142142,63.6668661591267
325,0.0,271,270,46,44.279074065746954,67.0,45.689922838812265
326,0.0,360,362,351,48.144779632574796,27.009391694021236,56.16111805776489
327,0.0,177,180,181,51.61376868156549,78.18469729161541,81.38625849897073
328,0.0,184,187,182,38.67028084235517,61.51239275507328,77.83001018203879
329,0.0,74,181,183,52.82176845420736,74.98194780806728,91.29726706539509
330,0.0,182,189,191,32.41889295482406,52.45816391625476,77.8933528651371
331,0.0,237,231,235,47.038788322295886,33.072198848218534,132.98338830751993
332,0.0,186,181,184,47.48127626102951,67.74883124487167,84.7982605587838
333,0.0,183,181,186,55.31742482084155,68.69420476098115,89.77327432408919
334,0.0,513,187,184,43.6471739374756,65.6793245031601,73.44538819353215
335,0.0,184,182,186,41.16440453605992,61.68552157023487,83.29367058809032
336,0.0,273,84,272,41.987620170383934,77.54141220172642,54.566991129932944
337,0.0,368,462,463,42.39085439314522,51.78038462596453,57.32288388449149
338,0.0,191,192,182,51.552096964213206,51.66146805638962,84.42570638766307
339,0.0,186,192,193,60.75857356549295,56.88455670327795,93.82459865510737
340,0.0,513,184,180,44.85141251289588,70.09715252826554,74.25782105732542
341,0.0,185,462,189,46.320211282542914,55.12096685634282,66.24314996145301
342,0.0,368,463,465,30.17804698055602,51.51008153351239,52.7550738882037
343,0.0,236,238,244,40.37432093093162,20.994048358399255,117.7688590832297
344,0.0,185,189,187,41.52724467059852,58.27622421927532,69.52720448797777
345,0.0,350,191,189,37.18381951762194,47.102453143558535,76.30446784814535
346,0.0,365,233,229,52.105628876216315,26.69190267091473,70.48479964564162
347,0.0,211,207,225,50.987332890249945,45.88947563528265,131.85170241045032
348,0.0,350,189,188,37.7754651734524,45.929183208683924,72.3625316842373
349,0.0,191,190,192,49.3144591301932,46.32969523820333,85.66242183992665
350,0.0,220,212,218,40.56948806160926,55.6544878047747,111.46433843641807
351,0.0,201,206,51,55.74229583319811,62.39562326964358,150.77359941584155
352,0.0,219,217,218,35.10740547548812,48.571629391014255,106.05509459065843
353,0.0,201,204,206,43.64633608861914,61.588945000417766,144.4348727009285
354,0.0,76,194,28,52.85246620919861,89.57923423495401,113.00000000000006
355,0.0,195,194,75,40.75587256075414,85.03551477263849,122.65333718407177
356,0.0,200,199,195,48.336275481627126,78.4438095146179,130.2744833504953
357,0.0,198,30,197,32.0,92.33333333333348,138.0
358,0.0,200,75,202,42.815427512956376,75.22885592794091,120.79001170169488
359,0.0,196,209,204,33.14048624444786,61.410353257427914,133.9212863746568
360,0.0,30,198,114,40.0,88.33333333333348,142.0
361,0.0,30,39,197,40.0,98.33333333333337,136.66666666666674
362,0.0,197,195,198,40.08892424585156,89.01183825754572,133.65333718407146
363,0.0,75,200,195,46.77330813452045,79.89732428341887,124.91539228272336
364,0.0,203,199,196,26.752954340465294,70.68273957153738,135.26015189751988
365,0.0,114,198,199,47.37847777121715,82.12224798517957,139.85909106776967
366,0.0,75,262,202,33.79193762965269,76.64389060351357,115.94889723181677
367,0.0,196,199,200,43.12003993663984,72.13577483526603,131.2435804612926
368,0.0,203,204,201,30.19707234796533,65.74159418603597,140.8510912495899
369,0.0,114,205,110,50.901705043353104,79.0345785593961,149.41264681458688
370,0.0,56,348,212,35.36633409234264,66.58841801428525,106.37333180919109
371,0.0,200,202,210,48.18237459483271,69.26281736494661,121.74926479622093
372,0.0,204,203,196,30.197072347965786,65.42047998379871,136.3956674481692
373,0.0,205,203,201,26.448526507369934,70.58285101465776,142.6024647790896
374,0.0,210,209,196,39.104330727749584,62.16008905097408,128.385932850763
375,0.0,214,215,206,35.81949759254985,52.307948799130244,146.64120562301878
376,0.0,205,208,110,55.048238224962006,75.03457855939638,153.41264681458728
377,0.0,199,205,114,35.30620676927356,78.15682654457585,141.93840454902386
378,0.0,211,214,209,48.64155100351354,51.93720253640811,137.55655504017136
379,0.0,213,51,206,36.765201170543605,58.28737215587881,155.02907465288604
380,0.0,219,218,193,39.786196222980834,53.13800131775213,102.82247571577727
381,0.0,215,457,68,31.40442108298248,44.38757589420135,152.58692110572736
382,0.0,299,110,208,48.0,74.58333333333329,162.0
383,0.0,51,208,201,51.06570284451482,67.02491778043179,153.74452476295687
384,0.0,196,200,210,46.252794220577925,67.62325104107359,126.843742488049
385,0.0,209,207,211,62.53373321154777,51.16849030371645,132.08270702950676
386,0.0,212,202,56,49.22736716024656,68.26494547322716,111.24605068366884
387,0.0,207,209,210,43.058336488235,57.03297433359569,126.30344334372398
388,0.0,207,220,222,45.87279261367621,47.869423939369,120.70329421148949
389,0.0,349,68,457,29.01628619062194,41.545733677791304,155.65524960075766
390,0.0,212,193,218,38.28649163010141,58.04216278041042,106.04279484751021
391,0.0,210,202,212,51.023828846045035,65.22314090979418,116.53863711153002
392,0.0,215,213,206,46.40897141087726,52.87921437228886,151.9607461578555
393,0.0,67,213,68,49.5,49.58333333333333,162.00000000000006
394,0.0,209,214,204,35.09108513689034,57.05195077274101,137.31264487828133
395,0.0,215,214,211,33.62143985884404,48.34915013769316,143.51731441711053
396,0.0,211,216,457,43.305420795241844,39.85661190304086,145.63228278236215
397,0.0,215,68,213,37.97056512599693,49.34184221641016,154.93167150496993
398,0.0,207,222,225,46.63060511985759,44.57621101053854,125.31188141582265
