Point ID,Y,Z
135,81.54170036607857,185.36828802532384
136,81.59766023514868,193.87452020558754
137,90.02060838827943,191.66480871031803
138,38.75,170.0
139,0.0,175.0
140,17.259433962264147,149.49537037037035
141,117.5,170.0
142,143.75,170.0
143,150.0,200.0
144,0.0,125.0
145,139.375,177.1386798124337
146,108.75,180.4044241184377
147,148.66340506026464,189.84000990109266
148,175.0,200.0
149,154.62383736726756,184.39556381704182
150,162.5,200.0
151,157.0027115925237,192.9847740486858
152,168.75,189.44084758605203
153,137.5,200.0
154,161.25,170.0
155,165.625,179.47930776250053
156,200.0,175.0
157,173.04111402380565,177.1528244341299
158,184.20054150965447,168.18535599404981
159,129.5,158.0
160,126.25,170.0
161,133.75,142.93184486444065
162,133.75,151.06528246792152
163,146.0,148.32744977505175
164,123.27721962373954,146.9985636661811
165,122.42535195056841,129.28647392669924
166,113.0,158.0
167,125.80903207527969,138.0002652009946
168,137.16255138342268,128.5776843951094
169,114.87266831911703,137.2331400897294
170,129.91231260785332,131.39304777392627
171,129.322570073991,119.13108149449876
172,113.56474127597194,128.42760776887332
173,118.9044270309288,119.47529287395572
174,116.55257104204249,144.28671651362083
175,123.91508078307353,113.29773580428258
176,89.34374128333492,93.5
177,85.03551477263909,84.03998844778219
178,88.23435150482833,77.25
179,86.99363522672414,66.0
180,74.59815675051749,74.97433914930838
181,74.92042035168996,85.14444789982211
182,56.73049132778013,80.63067798774298
183,69.29813481056927,95.24735329636387
184,66.4620142622411,80.32231200044777
185,61.04960496735248,63.22518943154107
186,61.86405912068344,88.92802177608053
187,61.34467267519969,72.5370405579271
188,44.68979560108576,68.40418864147945
189,52.434395015274525,72.81938347446564
190,40.73517287322062,84.34082434453235
191,48.20960540570934,80.229997133202
192,50.044307435679755,92.41644404204487
193,58.745303553470826,100.12933014719705
194,89.34374128333492,119.5
195,85.03551477263909,128.9600115522178
196,66.11141073458514,131.8673028846141
197,95.0,134.0
198,87.0,138.0
199,76.3667439555398,135.57727320331227
200,73.92916981567468,126.28616529595422
201,67.07475334129576,145.23357428887132
202,71.0301097062039,116.5838698091285
203,69.57006402448884,138.33587960463655
204,60.579965192322206,138.98381985525927
205,75.103735678188,144.23794044375933
206,57.112116467635644,149.08722395865598
207,50.73006658245106,125.6198343634995
208,71.0,158.0
209,57.539683845375194,130.9127363840934
210,62.82917257296126,122.37775928357966
211,45.23572048332396,139.71555034092944
212,61.810140450216274,110.65428224188005
213,54.75,158.0
214,53.03620328052539,142.04137839549153
215,46.77552664923025,148.79501451490984
