% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B1(2), t3, t1(2), k, k1, T
W21X122	21.7	12.4	0.600	0.96	1.46	1.50	17.25
W21X111	21.5	12.3	0.550	0.875	1.38	1.50	17.25
W21X101	21.4	12.3	0.500	0.8	1.30	1.44	17.25
W21X93	21.6	8.42	0.580	0.93	1.43	0.94	18.38
W21X83	21.4	8.36	0.515	0.835	1.34	0.88	18.38
W21X73	21.2	8.30	0.455	0.74	1.24	0.88	18.38
W21X68	21.1	8.27	0.430	0.685	1.19	0.88	18.38
W21X62	21.0	8.24	0.400	0.615	1.12	0.81	18.38
W21X55	20.8	8.22	0.375	0.522	1.02	0.81	18.38
W21X48	20.6	8.14	0.350	0.43	0.930	0.81	18.38
W21X57	21.1	6.56	0.405	0.65	1.15	0.81	18.38
W21X50	20.8	6.53	0.380	0.535	1.04	0.81	18.38
W21X44	20.7	6.50	0.350	0.45	0.950	0.81	18.38
W18X311	22.3	12.0	1.52	2.74	3.24	1.56	15.13
W18X283	21.9	11.9	1.40	2.5	3.00	1.50	15.13
W18X258	21.5	11.8	1.28	2.3	2.70	1.44	15.13
W18X234	21.1	11.7	1.16	2.11	2.51	1.38	15.13
W18X211	20.7	11.6	1.06	1.91	2.31	1.38	15.13
W18X192	20.4	11.5	0.960	1.75	2.15	1.31	15.13
W18X175	20.0	11.4	0.890	1.59	1.99	1.25	15.13
W18X158	19.7	11.3	0.810	1.44	1.84	1.25	15.13
W18X143	19.5	11.2	0.730	1.32	1.72	1.19	15.13
W18X130	19.3	11.2	0.670	1.2	1.60	1.19	15.13
W18X119	19.0	11.3	0.655	1.06	1.46	1.19	15.13
W18X106	18.7	11.2	0.590	0.94	1.34	1.13	15.13
W18X97	18.6	11.1	0.535	0.87	1.27	1.13	15.13
W18X86	18.4	11.1	0.480	0.77	1.17	1.06	15.13
W18X76	18.2	11.0	0.425	0.68	1.08	1.06	15.13
W18X71	18.5	7.64	0.495	0.81	1.21	0.88	15.50
W18X65	18.4	7.59	0.450	0.75	1.15	0.88	15.50
W18X60	18.2	7.56	0.415	0.695	1.10	0.81	15.50
W18X55	18.1	7.53	0.390	0.63	1.03	0.81	15.50
W18X50	18.0	7.50	0.355	0.57	0.972	0.81	15.50
W18X46	18.1	6.06	0.360	0.605	1.01	0.81	15.50
W18X40	17.9	6.02	0.315	0.525	0.927	0.81	15.50
W18X35	17.7	6.00	0.300	0.425	0.827	0.75	15.50
W16X100	17.0	10.4	0.585	0.985	1.39	1.13	13.25
W16X89	16.8	10.4	0.525	0.875	1.28	1.06	13.25
W16X77	16.5	10.3	0.455	0.76	1.16	1.06	13.25
W16X67	16.3	10.2	0.395	0.665	1.07	1.00	13.25
W16X57	16.4	7.12	0.430	0.715	1.12	0.88	13.63
W16X50	16.3	7.07	0.380	0.63	1.03	0.81	13.63
W16X45	16.1	7.04	0.345	0.565	0.967	0.81	13.63
W16X40	16.0	7.00	0.305	0.505	0.907	0.81	13.63
W16X36	15.9	6.99	0.295	0.43	0.832	0.75	13.63
W16X31	15.9	5.53	0.275	0.44	0.842	0.75	13.63
W16X26	15.7	5.50	0.250	0.345	0.747	0.75	13.63
W14X873	23.6	18.8	3.94	5.51	6.10	2.56	11.25
W14X808	22.8	18.6	3.74	5.12	5.71	2.50	11.25
W14X730	22.4	17.9	3.07	4.91	5.51	2.75	10
W14X665	21.6	17.7	2.83	4.52	5.12	2.63	10
W14X605	20.9	17.4	2.60	4.16	4.76	2.50	10
W14X550	20.2	17.2	2.38	3.82	4.42	2.38	10
W14X500	19.6	17.0	2.19	3.5	4.10	2.31	10
W14X455	19.0	16.8	2.02	3.21	3.81	2.25	10
W14X426	18.7	16.7	1.88	3.04	3.63	2.13	10
W14X398	18.3	16.6	1.77	2.85	3.44	2.13	10
W14X370	17.9	16.5	1.66	2.66	3.26	2.06	10
W14X342	17.5	16.4	1.54	2.47	3.07	2.00	10
W14X311	17.1	16.2	1.41	2.26	2.86	1.94	10
W14X283	16.7	16.1	1.29	2.07	2.67	1.88	10
W14X257	16.4	16.0	1.18	1.89	2.49	1.81	10
W14X233	16.0	15.9	1.07	1.72	2.32	1.75	10
W14X211	15.7	15.8	0.980	1.56	2.16	1.69	10
W14X193	15.5	15.7	0.890	1.44	2.04	1.69	10
W14X176	15.2	15.7	0.830	1.31	1.91	1.63	10
W14X159	15.0	15.6	0.745	1.19	1.79	1.56	10
W14X145	14.8	15.5	0.680	1.09	1.69	1.56	10
W14X132	14.7	14.7	0.645	1.03	1.63	1.56	10
W14X120	14.5	14.7	0.590	0.94	1.54	1.50	10
W14X109	14.3	14.6	0.525	0.86	1.46	1.50	10
W14X99	14.2	14.6	0.485	0.78	1.38	1.44	10
W14X90	14.0	14.5	0.440	0.71	1.31	1.44	10
W14X82	14.3	10.1	0.510	0.855	1.45	1.06	10.88
W14X74	14.2	10.1	0.450	0.785	1.38	1.06	10.88
W14X68	14.0	10.0	0.415	0.72	1.31	1.06	10.88
W14X61	13.9	10.0	0.375	0.645	1.24	1.00	10.88
W14X53	13.9	8.06	0.370	0.66	1.25	1.00	10.88
W14X48	13.8	8.03	0.340	0.595	1.19	1.00	10.88
W14X43	13.7	8.00	0.305	0.53	1.12	1.00	10.88
W14X38	14.1	6.77	0.310	0.515	0.915	0.81	11.63
W14X34	14.0	6.75	0.285	0.455	0.855	0.75	11.63
W14X30	13.8	6.73	0.270	0.385	0.785	0.75	11.63
W14X26	13.9	5.03	0.255	0.42	0.820	0.75	11.63
W14X22	13.7	5.00	0.230	0.335	0.735	0.75	11.63
W12X336	16.8	13.4	1.78	2.96	3.55	1.69	9.13
W12X305	16.3	13.2	1.63	2.71	3.30	1.63	9.13
W12X279	15.9	13.1	1.53	2.47	3.07	1.63	9.13
W12X252	15.4	13.0	1.40	2.25	2.85	1.50	9.13
W12X230	15.1	12.9	1.29	2.07	2.67	1.50	9.13
W12X210	14.7	12.8	1.18	1.9	2.50	1.44	9.13
W12X190	14.4	12.7	1.06	1.74	2.33	1.38	9.13
W12X170	14.0	12.6	0.960	1.56	2.16	1.31	9.13
W12X152	13.7	12.5	0.870	1.4	2.00	1.25	9.13
W12X136	13.4	12.4	0.790	1.25	1.85	1.25	9.13
W12X120	13.1	12.3	0.710	1.11	1.70	1.19	9.13
