% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, t2, t1, k
WT7X30.5	6.95	10.0	0.375	0.645	1.24
WT7X26.5	6.96	8.06	0.370	0.660	1.25
WT7X24	6.90	8.03	0.340	0.595	1.19
WT7X21.5	6.83	8.00	0.305	0.530	1.12
WT7X19	7.05	6.77	0.310	0.515	0.915
WT7X17	6.99	6.75	0.285	0.455	0.855
WT7X15	6.92	6.73	0.270	0.385	0.785
WT7X13	6.96	5.03	0.255	0.420	0.820
WT7X11	6.87	5.00	0.230	0.335	0.735
WT6X168	8.41	13.4	1.78	2.96	3.55
WT6X152.5	8.16	13.2	1.63	2.71	3.30
WT6X139.5	7.93	13.1	1.53	2.47	3.07
WT6X126	7.71	13.0	1.40	2.25	2.85
WT6X115	7.53	12.9	1.29	2.07	2.67
WT6X105	7.36	12.8	1.18	1.90	2.50
WT6X95	7.19	12.7	1.06	1.74	2.33
WT6X85	7.02	12.6	0.960	1.56	2.16
WT6X76	6.86	12.5	0.870	1.40	2.00
WT6X68	6.71	12.4	0.790	1.25	1.85
WT6X60	6.56	12.3	0.710	1.11	1.70
WT6X53	6.45	12.2	0.610	0.990	1.59
WT6X48	6.36	12.2	0.550	0.900	1.50
WT6X43.5	6.27	12.1	0.515	0.810	1.41
WT6X39.5	6.19	12.1	0.470	0.735	1.33
WT6X36	6.13	12.0	0.430	0.670	1.27
WT6X32.5	6.06	12.0	0.390	0.605	1.20
WT6X29	6.10	10.0	0.360	0.640	1.24
WT6X26.5	6.03	10.0	0.345	0.575	1.18
WT6X25	6.10	8.08	0.370	0.640	1.14
WT6X22.5	6.03	8.05	0.335	0.575	1.08
WT6X20	5.97	8.01	0.295	0.515	1.02
WT6X17.5	6.25	6.56	0.300	0.520	0.820
WT6X15	6.17	6.52	0.260	0.440	0.740
WT6X13	6.11	6.49	0.230	0.380	0.680
WT6X11	6.16	4.03	0.260	0.425	0.725
WT6X9.5	6.08	4.01	0.235	0.350	0.650
WT6X8	6.00	3.99	0.220	0.265	0.565
WT6X7	5.96	3.97	0.200	0.225	0.525
WT5X56	5.68	10.4	0.755	1.25	1.75
WT5X50	5.55	10.3	0.680	1.12	1.62
WT5X44	5.42	10.3	0.605	0.990	1.49
WT5X38.5	5.30	10.2	0.530	0.870	1.37
WT5X34	5.20	10.1	0.470	0.770	1.27
WT5X30	5.11	10.1	0.420	0.680	1.18
WT5X27	5.05	10.0	0.370	0.615	1.12
WT5X24.5	4.99	10.0	0.340	0.560	1.06
WT5X22.5	5.05	8.02	0.350	0.620	1.12
WT5X19.5	4.96	7.99	0.315	0.530	1.03
WT5X16.5	4.87	7.96	0.290	0.435	0.935
WT5X15	5.24	5.81	0.300	0.510	0.810
WT5X13	5.17	5.77	0.260	0.440	0.740
WT5X11	5.09	5.75	0.240	0.360	0.660
WT5X9.5	5.12	4.02	0.250	0.395	0.695
WT5X8.5	5.06	4.01	0.240	0.330	0.630
WT5X7.5	5.00	4.00	0.230	0.270	0.570
WT5X6	4.94	3.96	0.190	0.210	0.510
WT4X33.5	4.50	8.28	0.570	0.935	1.33
WT4X29	4.38	8.22	0.510	0.810	1.20
WT4X24	4.25	8.11	0.400	0.685	1.08
WT4X20	4.13	8.07	0.360	0.560	0.954
WT4X17.5	4.06	8.02	0.310	0.495	0.889
WT4X15.5	4.00	8.00	0.285	0.435	0.829
WT4X14	4.03	6.54	0.285	0.465	0.859
WT4X12	3.97	6.50	0.245	0.400	0.794
WT4X10.5	4.14	5.27	0.250	0.400	0.700
WT4X9	4.07	5.25	0.230	0.330	0.630
WT4X7.5	4.06	4.02	0.245	0.315	0.615
WT4X6.5	4.00	4.00	0.230	0.255	0.555
WT4X5	3.95	3.94	0.170	0.205	0.505
WT3X12.5	3.19	6.08	0.320	0.455	0.705
WT3X10	3.10	6.02	0.260	0.365	0.615
WT3X7.5	3.00	5.99	0.230	0.260	0.510
WT3X8	3.14	4.03	0.260	0.405	0.655
WT3X6	3.02	4.00	0.230	0.280	0.530
WT3X4.5	2.95	3.94	0.170	0.215	0.465
WT3X4.25	2.92	3.94	0.170	0.195	0.445
WT2.5X9.5	2.58	5.03	0.270	0.430	0.730
WT2.5X8	2.51	5.00	0.240	0.360	0.660
WT2X6.5	2.08	4.06	0.280	0.345	0.595
MT6.25X6.2	6.27	3.75	0.155	0.228	0.563
MT6.25X5.8	6.25	3.50	0.155	0.211	0.563
MT6X5.9	6.00	3.07	0.177	0.225	0.563
MT6X5.4	5.99	3.07	0.160	0.210	0.563
MT6X5	5.99	3.25	0.149	0.180	0.500
MT5X4.5	5.00	2.69	0.157	0.206	0.563
MT5X4	4.98	2.69	0.141	0.182	0.563
MT5X3.75	5.00	2.69	0.130	0.173	0.438
MT4X3.25	4.00	2.28	0.135	0.189	0.563
MT4X3.1	4.00	2.28	0.129	0.177	0.438
MT3X2.2	3.00	1.84	0.114	0.171	0.375
MT3X1.85	2.96	2.00	0.0980	0.129	0.313
MT2.5X9.45	2.50	5.00	0.316	0.416	0.813
MT2X3	1.90	3.80	0.130	0.160	0.500
ST12X60.5	12.3	8.05	1.09	0.800	2
ST12X53	12.3	7.87	1.09	0.620	2
ST12X50	12.0	7.25	0.870	0.745	1.750
ST12X45	12.0	7.13	0.870	0.625	1.750
ST12X40	12.0	7.00	0.870	0.500	1.750
ST10X48	10.2	7.20	0.920	0.800	1.750
ST10X43	10.2	7.06	0.920	0.660	1.750
ST10X37.5	10.0	6.39	0.795	0.635	1.625
ST10X33	10.0	6.26	0.795	0.505	1.625
ST9X35	9.00	6.25	0.691	0.711	1.500
ST9X27.35	9.00	6.00	0.691	0.461	1.500
ST7.5X25	7.50	5.64	0.622	0.550	1.375
ST7.5X21.45	7.50	5.50	0.622	0.411	1.375
ST6X25	6.00	5.48	0.659	0.687	1.438
ST6X20.4	6.00	5.25	0.659	0.462	1.438
ST6X17.5	6.00	5.08	0.544	0.428	1.188
ST6X15.9	6.00	5.00	0.544	0.350	1.188
ST5X17.5	5.00	4.94	0.491	0.594	1.125
ST5X12.7	5.00	4.66	0.491	0.311	1.125
ST4X11.5	4.00	4.17	0.425	0.441	1
ST4X9.2	4.00	4.00	0.425	0.271	1
ST3X8.6	3.00	3.57	0.359	0.465	0.813
ST3X6.25	3.00	3.33	0.359	0.232	0.813
ST2.5X5	2.50	3.00	0.326	0.214	0.750
ST2X4.75	2.00	2.80	0.293	0.326	0.750
ST2X3.85	2.00	2.66	0.293	0.193	0.750
ST1.5X3.75	1.50	2.51	0.260	0.349	0.625
ST1.5X2.85	1.50	2.33	0.260	0.170	0.625
